,Jurassic Park,The Lost World: Jurassic Park,Jurassic Park III,Jurassic World,Jurassic Park,The Lost World,
Indominus rex,,,,,,,"Indominus rex is a new, genetically modified hybrid mutant dinosaur to appear as an main antagonist in Jurassic World. It is said to be a hybrid created from the DNA of Tyrannosaurus,Giganotosaurus, Rugops, Majungasaurus, and Carnotaurus.[2]Jurassic World also reveals her genetic composition includes traces of Velociraptor, tree frogs and cuttlefish, which resulted in various innate abilities from said animals - the raptors' intelligence, the amphibians' thermal adaptability, and the cuttlefish'scamouflage.[3] The Indominus rex has killed her sibling and has been hunting other dinosaurs for sport. It also has the ability to communicate with and control Velociraptors to some extent due to the fact that it shares their DNA. The ""Indominus rex"" is known to be larger than a Tyrannosaurus rex, designed to be up to 50 feet when fully grown."
Procompsognathus,,,,,,,"Plays the same role in the novels that Compsognathus does in the films, they are revealed to be mildly venomous and kill John Hammond at the end of the first novel."
Camarasaurus,,,,,,,Replaces Apatosaurus in some editions of the first novel.
Maiasaura,,,,,,,"When Alan Grant and the kids are taking a nap, they discover aMaiasaura feeding near them and accidentally frighten it away."
Dryosaurus,,,,,,,"These are on the tour, and are one of the first dinosaurs seen after the Procompsognathus, the Velociraptor, and the Apatosaurus. The chapter ""The Park"" identifies the hypsilophodonts' genus asDryosaurs."
Cearadactylus,,,,,,,"In the first novel, the only major pterosaurs in the aviary wereCearadactylus. They dive-bomb Dr. Grant and the kids when they enter the aviary."
Carnotaurus,,,,,,,"An odd dinosaur with very little importance, save only that at the beginning of The Lost World a pair of them attack Richard Levine and kill his guide. They are also capable of changing skin color like a chameleon. The pair is also seen again later when the characters are at the abandoned gas station."
Othnielia,,,,,,,"These small dinosaurs are referred to as ""Othys"", and are found in the trees."
Ornitholestes,,,,,,,"Levine examined a beached ""aberrant form"". He was not able to make a precise identification, but his best guess is that it was anOrnitholestes. However, due to the fact that chromatophores were discovered in a skin sample of the specimen, it is likely that it was instead a Carnotaurus, unless Crichton's Ornitholestes, too, would have had the fictional camouflage ability."
Mussaurus,,,,,,,"Only seen once, just before Levine and his guide are ambushed by Carnotaurus."
Hadrosaurus,,,,,,,A herd of these stampeded when attacked by the Tyrannosaurus.
Microceratus,,,,,,,Appears in the first book were it is referred to as Microceratops.Microceratus was revealed to be an attraction in Jurassic Worldfrom an image on the film's official website.
Callovosaurus,,,,,,,Replaces Microceratus in some editions of the first novel.
Metriacanthosaurus,,,,,,,"Metriacanthosaurus is not seen in the movies, but its name can be seen next to a vial in the Cold Storage Room, and on the map of the park. At that time, Yangchuanosaurus was classified as a species of Metriacanthosaurus, so the dinosaur on the vial could refer to Metriacanthosaurus or Yangchuanosaurus."
Proceratosaurus,,,,,,,"Its name is seen in the second embryo cold storage vial, though never witnessed on the tour."
Segisaurus,,,,,,,"Segisaurus' name was seen briefly on a map of Isla Nublar, but it was never seen."
Herrerasaurus,,,,,,,"Herrerasaurus is not seen in the Jurassic Park movies, but its name is on a map inside of the Jeep's brochure in Jurassic Park."
Suchomimus,,,,,,,"Suchomimus is mentioned by Billy while trying to identify the predator which attacked them, which was a Spinosaurus.Suchomimus was revealed to be an attraction in Jurassic Worldfrom an image on the film's official website."
Baryonyx,,,,,,,Baryonyx is mentioned by Billy while trying to identify the predator which attacked them (a Spinosaurus). It was also seen on the map of Isla Nublar. Baryonyx was revealed to be an attraction inJurassic World from an image on the films official website.
Ultrasaurus,,,,,,,"Mentioned by Tim as being bigger than Apatosaurus. Likely refers to the chimera ""Ultrasauros"", which is often misspelled ""Ultrasaurus"" (which actually refers to a much smaller Korean sauropod)."
Seismosaurus,,,,,,,"Mentioned by Tim as being bigger than Apatosaurus. It is now known that ""Seismosaurus"" is not a distinct genus, but rather a species of Diplodocus."
Camptosaurus,,,,,,,This dinosaur is mentioned by Tim saying that there was a skeleton in a museum he visited with his family.
Deinonychus,,,,,,,"This dinosaur is mentioned by Tim, then Grant told him that it was reclassified as a species of Velociraptor."
Tenontosaurus,,,,,,,Mentioned by Tim as a prey item for Deinonychus (told by Grant that Deinonychus was reclassified as a Velociraptor).
Euoplocephalus,,,,,,,Seen on the population count.
Styracosaurus,,,,,,,Seen on the population count.
Troodon,,,,,,,"Levine mentions a Troodon (as ""Stenonychosaurus"") skeleton found by a colleague."
Edmontosaurus,,,,,,,A skull thought to belong to Edmontosaurus annectens (previouslyAnatotitan annectens) can be seen in the Tyrannosaurus rex nest in the second film. Edmontosaurus was revealed to be an attraction in Jurassic World on a leaked brochure image.
Coelurus,,,,,,,"Referred as a ""Coelurosaurus"""
